,lemma,count,translation
0,δίκαιος,12961,"observant of custom and social rule, well-ordered, civilised"
1,δίκη,6754,"custom, usage"
2,ἀδικέω,4745,to do wrong
3,δικαιοσύνη,4486,"righteousness, justice"
4,ἄδικος,2993,"wrong-doing, unrighteous, unjust"
5,δικαστής,2493,a judge
6,ἀδικία,2053,"wrong-doing, injustice"
7,δικαστήριον,1432,a court of justice
8,δικάζω,1054,"to judge, to give judgment on"
9,ἀδίκημα,1032,"a wrong done, a wrong"
10,δικαιόω,740,to set right
11,δικαίωμα,411,an act by which wrong is set right
12,ἀντίδικος,284,"an opponent in a suit, defendant"
13,καταδικάζω,260,to give judgment against
14,ἀδικοῦντας,224,
15,δικανικός,192,"skilled in law, versed in pleading, lawyer-like"
16,ἐκδικέω,187,"to avenge, punish"
17,ἀδικοῦντα,178,
18,ἐκδίκησις,166,an avenging
19,δικαία,139,
20,καταδίκη,138,judgment given against one: the damages awarded
21,ἀδικουμένοις,112,
22,δικαιοπραγέω,112,to act honestly
23,δικαστικός,98,of
24,ἀδικοῦντες,91,
25,δικαίωσις,85,"a setting right, doing justice to: punishment"
26,ἀδικούμενος,74,
27,ὑπόδικος,73,brought to trial
28,ἀδικουμένους,72,
29,ἀδικούμενοι,61,
30,ἀδικούμενον,58,
31,ἀδικοῦντος,48,
32,δικάζοντες,44,
33,ἀδικουμένῳ,42,
34,δικάζοντας,42,
35,ἀδικηθεὶς,41,
36,δικαιωτήριον,40,a house of correction
37,δικαιολογίαν,36,
38,δικαιογένης,36,
39,δικαζομένων,34,
40,δικαιολογίας,29,
41,δικαζόμενον,27,
42,δικασπόλος,25,"one who administers law, a judge"
43,δικαιοκρισία,25,righteous judgment
44,δικαιο,24,
45,δικαιώσας,23,
46,ἀδικηθέντα,22,
47,δικαιολογέομαι,22,to plead one's cause before the judge
48,ἐκδικούμενα,22,
49,καταδικασθεὶς,20,
50,δικαζομένοις,19,
51,ἀδικηθέντες,19,
52,δικάζοντα,18,
53,δικαιογένους,18,
54,ἐκδικίαν,18,
55,δικάζοντος,18,
56,ἐκδικίας,18,
57,δικαιοπράγημα,17,a just
58,δικαζόμενος,17,
59,δικαιοῦσαν,17,
60,δικαιάρχειαν,16,
61,δικατάληκτον,16,
62,ἀδικοῦσαν,15,
63,ἀδικουμένου,15,
64,δικαιωτηρίων,15,
65,δικαιώσεως,14,
66,δικαιαρχείας,13,
67,δικαζόμενοι,13,
68,δικαιώμασι,13,
69,δικαιοςύνη,13,
70,δικαζομένους,12,
71,καταδικασθέντας,12,
72,δικαιόπολις,12,strict in public faith
73,δικαιοςύνης,12,
74,δικαιοῦντες,11,
75,ἀδικηθέντας,11,
76,ἀδικοῦντά,11,
77,δικαιάρχου,11,
78,δικάσαντες,11,
79,ἀδικηθεῖσιν,11,
80,ἀδικηθείς,11,
81,δικαζούσῃ,11,
82,ἀδικοῦσα,11,
83,ἀδικηθήσεται,11,
84,καταδικάζων,11,
85,δικαιότατε,11,
86,καταδικασθέντα,10,
87,καταδίκαις,10,
88,δικάσαντος,10,
89,δικαιολογούμενος,10,
90,δικάσοντας,10,
91,δικαιοῦντος,10,
92,δικαιοπραγία,10,just
93,δικατάληκτα,10,
94,δικαιοδοσίας,10,
95,δικαιογένην,9,
96,καταδικάζουσαν,9,
97,ἀδικούσης,9,
98,δικανικῆς,9,
